date_store,nodes_group_B_G0_weak,nodes_group_A_G0_weak,nodes_group_B_G1_weak,nodes_group_A_G1_weak
2-01,12,47,53,2
02,268,21,0,13
03,348,15,0,29
04,308,21,3,32
05,305,20,1,15
06,129,11,5,48
07,104,1,8,68
08,283,110,6,4
09,29,6,24,0
10,107,87,18,0
11,305,108,0,15
12,1039,788,0,5
13,1148,802,1,9
14,653,464,8,1
15,451,252,0,18
16,452,28,2,77
17,309,106,21,1
18,232,57,0,39
19,434,124,1,35
20,588,284,0,10
21,745,426,1,8
22,905,781,0,13
23,745,348,0,15
24,2294,2533,2,4
25,2635,2361,3,3
26,2472,2196,0,7
27,2888,2349,1,3
28,2979,2255,5,2
3-01,3098,2343,0,5
3-02,2947,2228,0,4
3-03,2666,2208,0,5
3-04,2591,1976,2,8
3-05,2382,1922,0,7
3-06,2455,2082,0,4
3-07,2531,1949,0,7
3-08,2447,1976,0,6
3-09,2427,1698,0,5
3-10,2104,1646,0,4
3-11,2312,1699,2,3
