date_store,assortativity_values
2-01,-0.19028525522032178
02,-0.1503987403403627
03,-0.16961031378919378
04,-0.15262716674952007
05,-0.18355528809852217
06,-0.15097120417796855
07,-0.17957739848141147
08,-0.015533885448047883
09,-0.03598556179682606
10,-0.020699036524906775
11,-0.08982779754374295
12,-0.10346138723555647
13,-0.12449204080452038
14,-0.11724128550706199
15,-0.10272162405693806
16,-0.06179917675351745
17,-0.1578600821750626
18,-0.15309254543892958
19,-0.12578283073727878
20,-0.1008850229276978
21,-0.08448041222868363
22,-0.1160035572025666
23,-0.07584149692589795
24,-0.11379183365869196
25,-0.06229560719202132
26,-0.06748951550306256
27,-0.12423716971598409
28,-0.07618181342511113
3-01,-0.0758567651866312
3-02,-0.08139889308723203
3-03,-0.05126508208265107
3-04,-0.10378981757003437
3-05,-0.0908821002371314
3-06,-0.11037131814325446
3-07,-0.09270887298175909
3-08,-0.0781541139978528
3-09,-0.12366348742879539
3-10,-0.11274394517817353
3-11,-0.14502974968533675
